lawyer_name,title,firm_name,location,lawyer_about,languages,practice_areas,years_experience,join_date,connected,source
Ursula Donovan,Senior Associate  ,Adviceline Injury Lawyers,"VIC, Australia",,English,,7,"July 31st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ursula-donovan
Rory Donnellan,Principal  ,PRD Legal,"VIC, Australia",,"English, French",,,"July 1st, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-rory-donnellan
Lisa Dalton,Assistant Company Secretary  ,Affinity Education,"QLD, Australia",,English,,10,"November 26th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-lisa-dalton
Thomas Dewar,Principal  ,Dewar Legal,"SA, Australia",,English,,5,"July 18th, 2013",5,https:/lawpath.com.au/lawyer-network/lawyer-thomas-dewar
Zoe Hibbard,Solicitor  ,Southern Waters Legal,"NSW, Australia",,,,,"February 17th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-zoe-hibbard
Noric Dilanchian,  ,Dilanchian Lawyers & Consultants,"NSW, Australia",,English,,,"February 15th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-noric-dilanchian
Santiago De Silva,Managing Partner  ,De Silva Legal,"NSW, Australia"," ""We all know the box that most people fit lawyers into. At De Silva Legal, we understand that when you need legal services, it's rarely for something fun and usually for something you either have to do or some sort of difficult situation that you have found yourself in. 

That's why at De Silva Legal, we spend the time to learn what your situation is without charging you, tell you the cost upfront and commit clearly to the objectives you want from the outset.""","English, Other",,8,"February 17th, 2014",75,https:/lawpath.com.au/lawyer-network/lawyer-santiago-de-silva
Dave Hadley,Lawyer  ,Essen Lawyers Pty Ltd,"QLD, Australia",,"English, Mandarin, Vietnamese",,,"July 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-dave-hadley
Bishoy Hanna,Solicitor  ,Sabelberg Morcos Lawyers,"VIC, Australia",,English,,"1,5","September 13th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-bishoy-hanna
June H,Solicitor  ,PCL Lawyers,"VIC, Australia",,"English, Mandarin, Russian",,,"May 26th, 2014",39,https:/lawpath.com.au/lawyer-network/lawyer-june-h
Matthew Bridger,Partner  ,Elringtons,"ACT, Australia",,"English, Spanish, Other",,,"May 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-matthew-bridger
David Brett,Consultant Lawyer  ,McKean Park,"VIC, Australia",,English,,35,"October 21st, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-david-brett
Nicole Young,Solicitor  ,HHG Legal Group,"WA, Australia",,English,,10,"February 5th, 2014",19,https:/lawpath.com.au/lawyer-network/lawyer-nicole-young
Lynda Young,,,,,English,,14,"January 31st, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-lynda-young
George Zindilis,Principal  ,zindilis lawyers,"VIC, Australia",,"English, Mandarin, Italian, Cantonese, Greek, Spanish, Other",,,"July 29th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-george-zindilis
David Schwartz,Lawyer  ,Adviceline Injury Lawyers,"VIC, Australia",,English,,6,"July 31st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-david-schwartz
Angus Smyth,Lawyer  ,MBT Lawyers,"NSW, Australia"," ""Your work, your home, your family and your future are all impacted by the long arm of the law. I enjoy working with my clients to find simple and cost effective solutions to a range of legal issues.""",English,,5,"April 30th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-angus-smyth
Patrick See,Owner  ,Lloyd & Lloyd,"NSW, Australia"," ""legal advice areas include commercial, contracts, real estate, property, wills and estates, Family Law,""",English,,27,"November 26th, 2013",6,https:/lawpath.com.au/lawyer-network/lawyer-patrick-see
Ben Sewell,Director  ,Sewell & Kettle ,"NSW, Australia"," ""Sewell & Kettle Lawyers are trusted advisers to credit managers, accountants, entrepreneurs, transactional lawyers and in-house legal departments. We have a business mind-set and provide specialist advice in the following areas: 
Credit management
B2B debt recovery
Commercial dispute resolution
Strategic insolvency""",English,,11,"February 26th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-ben-sewell
Shavin Silva,Lawyer  ,Adelaide Legal,"SA, Australia",,"English, Other",,,"June 3rd, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-shavin-silva
Sajai Singh,Partner  ,J. Sagar Associates,"INDIA, India, Australia",,English,,23,"May 14th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-sajai-singh
Joselyn Kishore,Principal Solicitor  ,A&J Montgomery Legal,"NSW, Australia",,"English, Other",,,"November 18th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-joselyn-kishore
Nickita Knight,Lawyer  ,PCL Lawyers,"VIC, Australia,  "," ""I am a Family Lawyer based in the Melbourne CBD. I have experience in all matter of Family Law""",Russian,,4,"January 31st, 2014",29,https:/lawpath.com.au/lawyer-network/lawyer-nickita-knight
David Andrews,Lawyer  ,KWS Legal,"NSW, Australia",,English,,,"December 19th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-david-andrews
Derek Ziman,Principal  ,Ziman and Ziman Solicitors,"NSW, Australia - Admitted in South Africa and Lesotho"," ""Many years of experience in  all types of legal issues ranging from business problems, dispute resolution, civil & criminal litigation, building & construction disputes, family law, wills & estates & general advice""",English,,44,"September 13th, 2013",20,https:/lawpath.com.au/lawyer-network/lawyer-derek-ziman
Chris Stevens,Senior Associate  ,Deutsch Miller,"NSW, Australia",,English,,6,"April 15th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-chris-stevens
Maree Slingsby,Principal Director  ,acs legal Solutions,"QLD, Australia",,English,,,"July 5th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-maree-slingsby
Jared Zak,Principal  ,Dodd & Crossett,"NSW, Australia"," ""Ex-Mallesons, ex-Allen Overy solicitor will strong commercial background. """,English,,10,"September 18th, 2014",9,https:/lawpath.com.au/lawyer-network/lawyer-jared-zak
Scott Webb,Senior Associate  ,Broadley Rees Hogan Lawyers,"QLD, Australia",,English,,14,"July 25th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-scott-webb
Shane Wescott,,,,,"English, Spanish",,,"August 15th, 2014",11,https:/lawpath.com.au/lawyer-network/lawyer-shane-wescott
Bede Webster,Owner / Principal  ,Just Dispute Resolution,"NSW, Australia",,English,,5,"March 27th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-bede-webster
Laurinda Wellings,Lawyer  ,Law Plus,"NSW, Australia",,English,,,"June 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-laurinda-wellings
Artur Stuart,Principal  ,Artur Stuart Legal,"VIC, Australia",,English,,12,"July 23rd, 2013",54,https:/lawpath.com.au/lawyer-network/lawyer-artur-stuart
Jason Watson,Partner  ,FAL Lawyers,"VIC, Australia",,English,,,"July 30th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-jason-watson
Stuart Watson,Principal Solicitor  ,NQ Legal,"QLD, Australia",,English,,15,"March 27th, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-stuart-watson
Harriet Warlow Shill,Managing Partner  ,KWS Legal,"NSW, Australia,  Israel",,English,,5,"September 17th, 2013",30,https:/lawpath.com.au/lawyer-network/lawyer-harriet-warlow-shill
Vanessa Wang,Solicitor   ,Dettmann Longworth Lawyers ,"QLD, Australia ",,English,,1,"July 3rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-vanessa-wang
Raminder Singh Sahota,Chief Legal Advisor  ,Disputes Settlement Trust,India,,English,,40,"July 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-raminder-singh-sahota
Joseph Buccheri,Managing Partner  ,IMPEX Lawyers & Advisers,"VIC, Europe,  North/South America,  Asia,  Australia."," ""Private, Personal, Commercial Legal Services""",English,,10,"October 21st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-joseph-buccheri
